TP number,TP device address
1,E5:D0:08:AA:C5:AA
3,EB:13:D4:9C:DA:99
4,D0:91:D7:A1:FD:B9
6,F1:CB:7F:4B:8D:3E
8,E2:24:AC:FA:50:4C
10,FA:06:F1:95:93:8E
11,EC:74:12:D9:AB:CF
13,F8:4B:CB:F5:ED:DA
14,C0:52:29:F4:EF:2E
